name,full_name,url,visibility,default_branch,type,is_archived,is_fork,is_template,primary_language,created_at,last_updated,last_pushed,disk_usage_kb,criticality,data_sensitivity,clone_exists,local_path,git_branch,git_uncommitted,git_last_commit,description
jol-auth,journeyoflife-org/jol-auth,https://github.com/journeyoflife-org/jol-auth,PUBLIC,main,TIER0-CONTRACT,False,False,False,Makefile,2026-07-18,2026-09-16,2026-09-16,42,CRITICAL,HIGH-GDPR-Art9,True,/opt/jol/repos/jol-auth,main,True,a08ab1b docs(contributing): codify Qodana quality gates and pre-push requirements,"Authentication and identity management for Journey Of Life — OAuth 2.0 / OpenID Connect; multi-tenant RBAC; short-lived credentials; and session management across 400;000 institutions in 27 EU countries."
jol-core,journeyoflife-org/jol-core,https://github.com/journeyoflife-org/jol-core,PUBLIC,main,TEMPLATE+ACTIVE,False,False,True,JavaScript,2025-09-03,2026-08-26,2026-08-26,132,CRITICAL,HIGH-GDPR-Art9,True,/opt/jol/repos/jol-core,main,True,2ef41dd refactor: rename repository journey-of-life-core → jol-core,“Core server and AI orchestration engine for Journey of Life”
jol-hub,journeyoflife-org/jol-hub,https://github.com/journeyoflife-org/jol-hub,PUBLIC,main,TIER0-CONTRACT,False,False,False,TypeScript,2026-03-03,2026-09-16,2026-09-16,111648,CRITICAL,HIGH-GDPR-Art9,True,/opt/jol/repos/jol-hub,main,False,"de7d3256 fix: resolve 4 remaining CI failures (isort; coverage; TS exhaustiveness; ESLint) (#127)","JOL-HUB Enterprise Monorepo: 400K websites; 200 sub-projects; 27 EU countries"
jol-rag-server,journeyoflife-org/jol-rag-server,https://github.com/journeyoflife-org/jol-rag-server,PUBLIC,main,TEMPLATE+ACTIVE,False,False,True,Python,2026-08-03,2026-09-16,2026-09-16,159,CRITICAL,HIGH-GDPR-Art9,True,/opt/jol/repos/jol-rag-server,main,False,9702701 docs(deployments): close /query end-to-end closure criterion,
jol-ecommerce-engine,journeyoflife-org/jol-ecommerce-engine,https://github.com/journeyoflife-org/jol-ecommerce-engine,PUBLIC,main,TEMPLATE+ACTIVE,False,False,True,Python,2026-02-04,2026-09-16,2026-09-16,296,HIGH,HIGH-PCI,True,/opt/jol/repos/jol-ecommerce-engine,main,False,8bb1088 docs(release): allow tag-name reuse only when false tag retracted pre-distribution,"E-commerce engine for Journey Of Life; supporting product catalogs; service offerings; payments; VAT handling; and order lifecycle management for churches; funeral homes; and cemetery services."
jol-infrastructure,journeyoflife-org/jol-infrastructure,https://github.com/journeyoflife-org/jol-infrastructure,PUBLIC,main,TIER4-INFRA,False,False,False,Shell,2026-02-04,2026-09-16,2026-09-16,704,HIGH,LOW,True,/opt/jol/repos/jol-infrastructure,main,True,1679068 chore(deps): ignore hashicorp/aws 6.x across all terraform directories,"Infrastructure and DevOps configurations for Journey Of Life; including CI/CD pipelines; containerization; environment management; and cloud deployment templates."
jol-llm,journeyoflife-org/jol-llm,https://github.com/journeyoflife-org/jol-llm,PUBLIC,main,TIER2-AI,False,False,False,Shell,2026-08-04,2026-09-16,2026-09-16,138,HIGH,MEDIUM,True,/opt/jol/repos/jol-llm,main,True,d37c331 fix(docs): replace broken relative links with jol-infrastructure URLs,"JOL self-hosted; air-gapped LLM platform — Ollama on bare metal with mTLS; ISO 27001/GDPR compliance artifacts"
jol-mcp-servers,journeyoflife-org/jol-mcp-servers,https://github.com/journeyoflife-org/jol-mcp-servers,PUBLIC,main,TEMPLATE+ACTIVE,False,False,True,Python,2026-07-14,2026-09-16,2026-09-16,205,HIGH,MEDIUM,True,/opt/jol/repos/jol-mcp-servers,main,False,"f278e5d ci(qodana): switch to workflow_dispatch — token expired; license deferred to pre-deployment (#24)",
jol-compliance,journeyoflife-org/jol-compliance,https://github.com/journeyoflife-org/jol-compliance,PUBLIC,main,TIER4-INFRA,False,False,False,Python,2026-07-09,2026-09-16,2026-09-16,184,MEDIUM,MEDIUM,True,/opt/jol/repos/jol-compliance,feature/initial-setup,True,"929b220 feat(compliance): add GDPR DSR tracker; retention calculator; and evidence collection scripts",
jol-devops,journeyoflife-org/jol-devops,https://github.com/journeyoflife-org/jol-devops,PUBLIC,main,TIER4-INFRA,False,False,False,Shell,2026-07-12,2026-08-26,2026-08-26,63,MEDIUM,LOW,True,/opt/jol/repos/jol-devops,main,False,d089cef feat(maintenance): add workstation disk layout fix script,"Centralized DevOps platform ? reusable CI/CD workflows; operational runbooks; observability; security policies; and SOC 2 audit tooling"
jol-hermes-agents,journeyoflife-org/jol-hermes-agents,https://github.com/journeyoflife-org/jol-hermes-agents,PUBLIC,main,TIER2-AI,False,False,False,Python,2026-08-03,2026-09-16,2026-09-16,48,MEDIUM,MEDIUM,True,/opt/jol/repos/jol-hermes-agents,main,True,dc79827 fix(ci): grant CodeQL job actions:read and bump codeql-action to v4,
jol-security,journeyoflife-org/jol-security,https://github.com/journeyoflife-org/jol-security,PUBLIC,main,TEMPLATE+ACTIVE,False,False,True,Shell,2026-07-25,2026-08-31,2026-08-26,94,MEDIUM,MEDIUM,True,/opt/jol/repos/jol-security,main,False,27e4773 Initial commit: SOC 2 / GDPR / ISO 27001 compliance repository,Security module for Journey of Life
jol-site-basilica,journeyoflife-org/jol-site-basilica,https://github.com/journeyoflife-org/jol-site-basilica,PUBLIC,main,SITE-SPOKE,False,False,False,TypeScript,2026-09-10,2026-09-16,2026-09-16,31,MEDIUM,LOW,True,/opt/jol/repos/jol-site-basilica,feature/stage0-gate-remediation,True,"40093bc docs: add final engagement sign-off — 20 prompts; 25 commits; 62 findings (Prompt 20)",JOL vertical: basilica — Next.js 14 spoke consuming @jol-hub/* packages (ADR-011)
jol-site-cathedral,journeyoflife-org/jol-site-cathedral,https://github.com/journeyoflife-org/jol-site-cathedral,PUBLIC,main,SITE-SPOKE,False,False,False,TypeScript,2026-09-10,2026-09-16,2026-09-16,27,MEDIUM,LOW,True,/opt/jol/repos/jol-site-cathedral,feature/stage0-gate-remediation,True,8193a44 feat(frontend): implement page package 04 — Cathedral of Kaunas landing,JOL vertical: cathedral — Next.js 14 spoke consuming @jol-hub/* packages (ADR-011)
jol-site-cemetery-care,journeyoflife-org/jol-site-cemetery-care,https://github.com/journeyoflife-org/jol-site-cemetery-care,PUBLIC,main,SITE-SPOKE,False,False,False,TypeScript,2026-09-10,2026-09-16,2026-09-16,28,MEDIUM,LOW,True,/opt/jol/repos/jol-site-cemetery-care,feature/stage0-gate-remediation,True,d20a7a8 feat(frontend): implement page package 12 — Vilnius Cemetery Services landing,JOL vertical: cemetery-care — Next.js 14 spoke consuming @jol-hub/* packages (ADR-011)
jol-site-deanery,journeyoflife-org/jol-site-deanery,https://github.com/journeyoflife-org/jol-site-deanery,PUBLIC,main,SITE-SPOKE,False,False,False,TypeScript,2026-09-10,2026-09-16,2026-09-16,27,MEDIUM,LOW,True,/opt/jol/repos/jol-site-deanery,feature/stage0-gate-remediation,True,07c7e8e feat(frontend): implement page package 06 — Vilnius City Deanery landing,JOL vertical: deanery — Next.js 14 spoke consuming @jol-hub/* packages (ADR-011)
jol-site-diocese,journeyoflife-org/jol-site-diocese,https://github.com/journeyoflife-org/jol-site-diocese,PUBLIC,main,SITE-SPOKE,False,False,False,TypeScript,2026-09-10,2026-09-16,2026-09-16,26,MEDIUM,LOW,True,/opt/jol/repos/jol-site-diocese,feature/stage0-gate-remediation,True,cc9390d feat(frontend): implement page package 05 — Vilnius Archdiocese landing,JOL vertical: diocese — Next.js 14 spoke consuming @jol-hub/* packages (ADR-011)
